# p0 T_to_q
0.0100 NaN
0.0200 NaN
0.0300 NaN
0.0400 NaN
0.0500 NaN
0.0600 NaN
0.0700 NaN
0.0800 NaN
0.0900 NaN
0.1000 NaN
0.1100 NaN
0.1200 NaN
0.1300 NaN
0.1400 NaN
0.1500 NaN
0.1600 NaN
0.1700 NaN
0.1800 NaN
0.1900 NaN
0.2000 NaN
0.2100 NaN
0.2200 NaN
0.2300 NaN
0.2400 NaN
0.2500 NaN
0.2600 NaN
0.2700 NaN
0.2800 NaN
0.2900 NaN
0.3000 NaN
0.3100 NaN
0.3200 NaN
0.3300 NaN
0.3400 NaN
0.3500 NaN
0.3600 NaN
0.3700 NaN
0.3800 NaN
0.3900 NaN
0.4000 NaN
0.4100 NaN
0.4200 NaN
0.4300 NaN
0.4400 NaN
0.4500 NaN
0.4600 NaN
0.4700 NaN
0.4800 NaN
0.4900 NaN
0.5000 NaN
0.5100 NaN
0.5200 NaN
0.5300 NaN
0.5400 NaN
0.5500 NaN
0.5600 NaN
0.5700 NaN
0.5800 NaN
0.5900 NaN
0.6000 NaN
0.6100 NaN
0.6200 NaN
0.6300 NaN
0.6400 NaN
0.6500 NaN
0.6600 8.590000
0.6700 7.030000
0.6800 6.110000
0.6900 5.440000
0.7000 4.920000
0.7100 4.480000
0.7200 4.100000
0.7300 3.770000
0.7400 3.460000
0.7500 3.190000
0.7600 2.930000
0.7700 2.690000
0.7800 2.460000
0.7900 2.240000
0.8000 2.030000
0.8100 1.820000
0.8200 1.620000
0.8300 1.420000
0.8400 1.230000
0.8500 1.030000
0.8600 0.830000
0.8700 0.630000
0.8800 0.430000
0.8900 0.220000
0.9000 0.000000
0.9100 0.000000
0.9200 0.000000
0.9300 0.000000
0.9400 0.000000
0.9500 0.000000
0.9600 0.000000
0.9700 0.000000
0.9800 0.000000
0.9900 0.000000
1.0000 0.000000
