# t p0=0.20 p0=0.45 p0=0.66 p0=0.75 p0=0.85
0.000000 0.200000 0.450000 0.660000 0.750000 0.850000
0.010000 0.198562 0.449008 0.660045 0.750376 0.850510
0.020000 0.197126 0.448011 0.660090 0.750752 0.851020
0.030000 0.195695 0.447010 0.660136 0.751130 0.851529
0.040000 0.194266 0.446004 0.660181 0.751508 0.852039
0.050000 0.192841 0.444994 0.660227 0.751888 0.852548
0.060000 0.191420 0.443979 0.660273 0.752269 0.853057
0.070000 0.190002 0.442959 0.660319 0.752650 0.853566
0.080000 0.188588 0.441935 0.660365 0.753033 0.854075
0.090000 0.187178 0.440907 0.660412 0.753417 0.854584
0.100000 0.185772 0.439873 0.660459 0.753801 0.855092
0.110000 0.184369 0.438836 0.660506 0.754187 0.855600
0.120000 0.182971 0.437793 0.660553 0.754574 0.856108
0.130000 0.181576 0.436746 0.660601 0.754962 0.856616
0.140000 0.180186 0.435695 0.660648 0.755351 0.857123
0.150000 0.178801 0.434639 0.660696 0.755741 0.857630
0.160000 0.177419 0.433578 0.660744 0.756132 0.858137
0.170000 0.176042 0.432513 0.660792 0.756523 0.858644
0.180000 0.174669 0.431443 0.660841 0.756916 0.859150
0.190000 0.173301 0.430368 0.660890 0.757310 0.859656
0.200000 0.171937 0.429289 0.660938 0.757705 0.860162
0.210000 0.170578 0.428205 0.660988 0.758101 0.860667
0.220000 0.169224 0.427117 0.661037 0.758498 0.861173
0.230000 0.167875 0.426024 0.661087 0.758896 0.861677
0.240000 0.166530 0.424926 0.661136 0.759295 0.862182
0.250000 0.165191 0.423824 0.661186 0.759695 0.862686
0.260000 0.163856 0.422717 0.661237 0.760096 0.863190
0.270000 0.162526 0.421605 0.661287 0.760498 0.863693
0.280000 0.161202 0.420489 0.661338 0.760901 0.864196
0.290000 0.159883 0.419368 0.661389 0.761305 0.864698
0.300000 0.158569 0.418243 0.661440 0.761710 0.865201
0.310000 0.157260 0.417113 0.661491 0.762116 0.865702
0.320000 0.155957 0.415978 0.661543 0.762523 0.866204
0.330000 0.154659 0.414839 0.661594 0.762931 0.866705
0.340000 0.153366 0.413695 0.661646 0.763340 0.867205
0.350000 0.152079 0.412546 0.661699 0.763750 0.867705
0.360000 0.150798 0.411393 0.661751 0.764161 0.868205
